title,artists,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_href,analysis_url,duration_ms,time_signature
['Bark at the Moon'],['Ozzy Osbourne'],['2E7W1X4maFFcjHrVrFA7Vs'],0.303,0.961,9,-5.333,0,0.243,0.00253,6.2e-05,0.132,0.305,146.591,https://api.spotify.com/v1/tracks/2E7W1X4maFFcjHrVrFA7Vs,https://api.spotify.com/v1/audio-analysis/2E7W1X4maFFcjHrVrFA7Vs,257120,4
"[""Mama, I'm Coming Home""]",['Ozzy Osbourne'],['0S3gpZzlT9Hb7CCSV2owX7'],0.282,0.656,8,-6.557,1,0.0302,0.0105,0.0,0.0892,0.242,139.352,https://api.spotify.com/v1/tracks/0S3gpZzlT9Hb7CCSV2owX7,https://api.spotify.com/v1/audio-analysis/0S3gpZzlT9Hb7CCSV2owX7,251867,4
['Outside'],['Staind'],['5D6rk7Zr7FRy5m2fDte5fp'],0.515,0.594,1,-4.708,1,0.0262,0.00844,0.00658,0.0752,0.218,146.564,https://api.spotify.com/v1/tracks/5D6rk7Zr7FRy5m2fDte5fp,https://api.spotify.com/v1/audio-analysis/5D6rk7Zr7FRy5m2fDte5fp,293133,4
['I Stand Alone'],['Godsmack'],['6eYUbXmncekAKMYZcsSkyD'],0.218,0.93,8,-4.438,1,0.0633,4.15e-05,0.0,0.126,0.367,166.078,https://api.spotify.com/v1/tracks/6eYUbXmncekAKMYZcsSkyD,https://api.spotify.com/v1/audio-analysis/6eYUbXmncekAKMYZcsSkyD,246040,4
['Hail to the King'],['Avenged Sevenfold'],['5anCkDvJ17aznvK5TED5uo'],0.58,0.916,3,-4.358,0,0.0387,0.000297,0.0259,0.126,0.683,118.004,https://api.spotify.com/v1/tracks/5anCkDvJ17aznvK5TED5uo,https://api.spotify.com/v1/audio-analysis/5anCkDvJ17aznvK5TED5uo,305907,4
['Hit That'],['The Offspring'],['3lfmqF0ULXRHlWxBeaHo3t'],0.704,0.809,4,-3.045,1,0.0321,0.0233,0.0,0.0596,0.962,131.952,https://api.spotify.com/v1/tracks/3lfmqF0ULXRHlWxBeaHo3t,https://api.spotify.com/v1/audio-analysis/3lfmqF0ULXRHlWxBeaHo3t,169413,4
"[""God's Gonna Cut You Down""]",['Marilyn Manson'],['0FkcmHJOsWE80rlpzfT0Pq'],0.504,0.754,8,-5.182,1,0.0424,0.139,0.0,0.126,0.583,82.009,https://api.spotify.com/v1/tracks/0FkcmHJOsWE80rlpzfT0Pq,https://api.spotify.com/v1/audio-analysis/0FkcmHJOsWE80rlpzfT0Pq,160538,4
['Whaling'],['DD Smash'],['5OYuozhtk3Q5wWjA5Ix48H'],0.604,0.506,0,-12.619,1,0.0288,0.00922,6.79e-05,0.132,0.451,113.668,https://api.spotify.com/v1/tracks/5OYuozhtk3Q5wWjA5Ix48H,https://api.spotify.com/v1/audio-analysis/5OYuozhtk3Q5wWjA5Ix48H,225360,4
['Shine A Little Light'],['The Black Keys'],['365TSrFPqM66giaxJuafR3'],0.44,0.719,8,-6.645,0,0.0445,0.0217,5.09e-06,0.0663,0.523,111.398,https://api.spotify.com/v1/tracks/365TSrFPqM66giaxJuafR3,https://api.spotify.com/v1/audio-analysis/365TSrFPqM66giaxJuafR3,196777,4
['Dance Of The Clairvoyants'],['Pearl Jam'],['3Y1q37A7ecFEdR5IAMWodA'],0.741,0.711,11,-7.744,0,0.0416,0.0122,0.000696,0.0836,0.649,113.971,https://api.spotify.com/v1/tracks/3Y1q37A7ecFEdR5IAMWodA,https://api.spotify.com/v1/audio-analysis/3Y1q37A7ecFEdR5IAMWodA,265307,4
['N.I.B.'],['Black Sabbath'],['62oNfnQqObaqARM0DTibAL'],0.476,0.556,4,-10.586,0,0.0646,0.0838,1.59e-05,0.125,0.43,103.122,https://api.spotify.com/v1/tracks/62oNfnQqObaqARM0DTibAL,https://api.spotify.com/v1/audio-analysis/62oNfnQqObaqARM0DTibAL,364493,4
['Sweet Dreams (Are Made Of This)'],['Marilyn Manson'],['1ENLIbxO4Uma773neTHxbp'],0.39,0.642,8,-5.266,1,0.0326,0.00502,0.565,0.296,0.132,92.397,https://api.spotify.com/v1/tracks/1ENLIbxO4Uma773neTHxbp,https://api.spotify.com/v1/audio-analysis/1ENLIbxO4Uma773neTHxbp,293293,4
['Say Hello 2 Heaven'],['Temple Of The Dog'],['24oBrG5SNXYV99zlBqkbB4'],0.309,0.648,0,-9.973,1,0.0317,0.0773,0.0,0.371,0.327,148.068,https://api.spotify.com/v1/tracks/24oBrG5SNXYV99zlBqkbB4,https://api.spotify.com/v1/audio-analysis/24oBrG5SNXYV99zlBqkbB4,382467,3
['Satellite'],['Rise Against'],['5sG3G54H21hNfd5etlheoe'],0.387,0.94,5,-4.16,0,0.0528,0.00369,0.0,0.0759,0.444,134.876,https://api.spotify.com/v1/tracks/5sG3G54H21hNfd5etlheoe,https://api.spotify.com/v1/audio-analysis/5sG3G54H21hNfd5etlheoe,238573,4
